State,Content ratio,Metadata ratio,parser
application/html,2.941,0.124,org.apache.tika.parser.html.HtmlParser
text/plain,9.375,0.052,org.apache.tika.parser.txt.TXTParser
application/msword,0.172,0.043,org.apache.tika.parser.microsoft.OfficeParser
application/pdf,0.194,0.029,org.apache.tika.parser.pdf.PDFParser
application/rdf,4.360,0.323,org.apache.tika.parser.xml.DcXMLParser
application/rss,1.222,0.125,org.apache.tika.parser.feed.FeedParser
application/rtf,0.099,0.019,org.apache.tika.parser.rtf.RTFParser
application/xhtml,2.092,0.154,org.apache.tika.parser.html.HtmlParser
audio/mpeg,0.007,0.026,org.apache.tika.parser.mp3.Mp3Parser
message/rfc822,9.662,0.322,org.apache.tika.parser.mail.RFC822Parser
